x = 0.1, Y(x) = 2.303, S(x) = 2.30352, n = 126, time = 7582759 ns
x = 0.101, Y(x) = 2.29306, S(x) = 2.29319, n = 33, time = 1429698 ns
x = 0.102, Y(x) = 2.28322, S(x) = 2.28393, n = 154, time = 4646423 ns
x = 0.103, Y(x) = 2.27347, S(x) = 2.27326, n = 92, time = 3049355 ns
x = 0.104, Y(x) = 2.26382, S(x) = 2.26481, n = 91, time = 2502126 ns
x = 0.105, Y(x) = 2.25425, S(x) = 2.25497, n = 120, time = 3855990 ns
x = 0.106, Y(x) = 2.24478, S(x) = 2.2449, n = 237, time = 6607052 ns
x = 0.107, Y(x) = 2.2354, S(x) = 2.23463, n = 147, time = 4762422 ns
x = 0.108, Y(x) = 2.22611, S(x) = 2.22597, n = 59, time = 2022452 ns
x = 0.109, Y(x) = 2.2169, S(x) = 2.21741, n = 173, time = 4676030 ns
x = 0.11, Y(x) = 2.20778, S(x) = 2.20685, n = 143, time = 2856735 ns
x = 0.111, Y(x) = 2.19874, S(x) = 2.19828, n = 30, time = 637480 ns
x = 0.112, Y(x) = 2.18978, S(x) = 2.19072, n = 5, time = 146816 ns
x = 0.113, Y(x) = 2.1809, S(x) = 2.18133, n = 139, time = 3372715 ns
x = 0.114, Y(x) = 2.1721, S(x) = 2.17277, n = 83, time = 1736736 ns
x = 0.115, Y(x) = 2.16337, S(x) = 2.1642, n = 164, time = 3344488 ns
x = 0.116, Y(x) = 2.15473, S(x) = 2.15559, n = 325, time = 9036946 ns
x = 0.117, Y(x) = 2.14615, S(x) = 2.14582, n = 161, time = 5050342 ns
x = 0.118, Y(x) = 2.13765, S(x) = 2.13829, n = 54, time = 2309946 ns
x = 0.119, Y(x) = 2.12922, S(x) = 2.1294, n = 132, time = 4258674 ns
x = 0.12, Y(x) = 2.12086, S(x) = 2.12025, n = 131, time = 2628307 ns
x = 0.121, Y(x) = 2.11257, S(x) = 2.11266, n = 104, time = 3139802 ns
x = 0.122, Y(x) = 2.10435, S(x) = 2.10504, n = 180, time = 3102633 ns
x = 0.123, Y(x) = 2.0962, S(x) = 2.09659, n = 27, time = 649835 ns
x = 0.124, Y(x) = 2.08811, S(x) = 2.08855, n = 152, time = 3137005 ns
x = 0.125, Y(x) = 2.08009, S(x) = 2.0807, n = 201, time = 4225642 ns
x = 0.126, Y(x) = 2.07213, S(x) = 2.07293, n = 224, time = 6301040 ns
x = 0.127, Y(x) = 2.06424, S(x) = 2.06369, n = 99, time = 4081077 ns
x = 0.128, Y(x) = 2.05641, S(x) = 2.05561, n = 196, time = 8164198 ns
x = 0.129, Y(x) = 2.04864, S(x) = 2.04846, n = 146, time = 6112293 ns
x = 0.13, Y(x) = 2.04093, S(x) = 2.04162, n = 145, time = 8851101 ns
x = 0.131, Y(x) = 2.03327, S(x) = 2.03312, n = 96, time = 3461167 ns
x = 0.132, Y(x) = 2.02568, S(x) = 2.02544, n = 119, time = 4930580 ns
x = 0.133, Y(x) = 2.01814, S(x) = 2.01876, n = 118, time = 4113678 ns
x = 0.134, Y(x) = 2.01066, S(x) = 2.01035, n = 164, time = 10996883 ns
x = 0.135, Y(x) = 2.00324, S(x) = 2.00407, n = 70, time = 3039989 ns
x = 0.136, Y(x) = 1.99587, S(x) = 1.99513, n = 254, time = 13014397 ns
x = 0.137, Y(x) = 1.98856, S(x) = 1.98897, n = 69, time = 2912470 ns
